category/id,title,title_pt,original_description,xml_line,data_type,api_to_encoded_values,routes,status
03/3A,Change Display Unit for HUD Digital Speedometer,,HUD デジタルスピードメーターの表示単位切替,2660,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
03/3B,Turn By Turn Auto Display,Exibição curva-a-curva,Turn by Turn表示（HUD装備時）,2680,0,"{""1"": 0, ""2"": 1}","[{""source"": 80, ""menu"": 49}]",metadata_present
03/3C,Language Selection,Seleção de Idioma,言語設定 (アラビア語),2702,0,"{""1"": 0, ""2"": 1}","[{""source"": 80, ""menu"": 33}]",metadata_present
03/3D,,,コンテンツ切替,2724,2,{},[],no_xml_route
03/3E,,,フェイバリット切替,2738,2,{},[],no_xml_route
03/3F,Contents Change Sound ON/OFF,,コンテンツ切替音　有無切替,2752,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
03/40,New Message Notifications,Notificação de nova mensagem,新着（Mail/News/SNS）割り込み表示　有無切替,2772,0,"{""1"": 0, ""2"": 1}","[{""source"": 80, ""menu"": 55}]",metadata_present
03/41,Select Wallpaper,,壁紙選択,2794,0,"{""1"": 0, ""2"": 1, ""3"": 2, ""4"": 3}",[],no_xml_route
03/42,,,画像読込,2816,2,{},[],no_xml_route
03/43,Delete Wallpaper,,壁紙削除,2830,0,"{""1"": 0, ""2"": 1, ""3"": 2}",[],no_xml_route
03/44,Select Drive Computer Display,,ﾄﾞﾗｲﾌﾞｺﾝﾋﾟｭｰﾀ表示選択,2851,0,"{""1"": 0, ""2"": 1, ""3"": 2, ""4"": 3, ""5"": 4}",[],no_xml_route
03/45,Opening Animation,,オープニングアニメーション,2874,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
03/46,Background Color,,背景色,2894,0,"{""1"": 0, ""2"": 1, ""3"": 2, ""4"": 3}",[],no_xml_route
03/47,Keyless Start Guidance Screens,Telas de orientação inicial sem chave,スマートスタートのガイダンス表示,2916,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
03/48,Turn by Turn Display,Exibição Curva a Curva,交差点案内表示,2936,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
03/49,Auto Engine Idle Stop Guidance Screens,Telas de interrupção de guia com motor ocioso,アイドルストップガイダンス表示設定,2956,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
03/4A,Warning Message,Mensagem de aviso,ワーニングメッセージ,2976,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
03/4B,Traffic Sign Recognition System Display,Exibição do sistema de reconhecimento de sinais de trânsito,TSR常駐表示,2996,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
03/4C,,,DISPLY表示言語切り替え,3016,0,"{""1"": 0, ""2"": 1, ""3"": 2}",[],no_xml_route
03/4D,,,DISPLY表示言語切り替え,3037,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
03/4E,,,DISPLY表示言語切り替え,3057,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
03/4F,,,DISPLY表示言語切り替え,3077,0,"{""1"": 0, ""2"": 1, ""3"": 2, ""4"": 3, ""5"": 4, ""6"": 5, ""7"": 6, ""8"": 7, ""9"": 8, ""10"": 9, ""11"": 10, ""12"": 11, ""13"": 12}",[],no_xml_route
03/50,Default,Padrão,default,3108,2,{},[],no_xml_route
03/51,,,非パドル操作時ギヤ段常時表示,3122,0,"{""1"": 0, ""2"": 1}","[{""source"": 80, ""menu"": 10}]",metadata_present
03/52,Gear Position Display,Exibição da posição de marcha,MTギヤ段表示,3144,0,"{""1"": 0, ""2"": 1}","[{""source"": 80, ""menu"": 54}]",metadata_present
03/53,,,ターン音色,3166,0,"{""1"": 0, ""2"": 1, ""3"": 2}","[{""source"": 80, ""menu"": 13}]",metadata_present
03/54,Reverse Alert Tone,Tom de Alerta de Marcha à Ré,1周期吹鳴タイプリバースアラーム,3189,0,"{""1"": 0, ""2"": 1}","[{""source"": 80, ""menu"": 12}]",metadata_present
03/55,Tire Angle Monitor,Monitor de ângulo de pneu,タイヤ角度モニター,3211,0,"{""1"": 0, ""2"": 1}","[{""source"": 80, ""menu"": 53}]",metadata_present
03/56,Display Speed Unit,Exibir unid. de velocidade,距離表示単位,3233,0,"{""1"": 0, ""2"": 1}","[{""source"": 80, ""menu"": 14}]",metadata_present
03/57,Speed/Distance Units,Unid. de distância/velocidade,車速・距離表示単位,3255,0,"{""1"": 0, ""2"": 1}","[{""source"": 80, ""menu"": 47}]",metadata_present
03/58,Auto Interior Illumination,Inluminação interna autom.,室内照明自動減光設定,3277,0,"{""1"": 0, ""2"": 1, ""3"": 2, ""4"": 3, ""5"": 4, ""6"": 5}","[{""source"": 80, ""menu"": 38}]",metadata_present
03/59,,,IDS設定,3303,0,"{""1"": 0, ""2"": 1, ""3"": 2, ""4"": 3}",[],no_xml_route
